"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
5,5,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048584.000000,5187498372976244,5187498373112564
5,5,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,5187498372976244,5187498373112564
5,5,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,5187498372976244,5187498373112564
6,6,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,5187498373527446,5187498373662966
6,6,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048586.000000,5187498373527446,5187498373662966
6,6,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,5187498373527446,5187498373662966
6,6,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048584.000000,5187498373527446,5187498373662966
6,6,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,5187498373527446,5187498373662966
6,6,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,5187498373527446,5187498373662966
7,7,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,5187498374077048,5187498374212889
7,7,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048584.000000,5187498374077048,5187498374212889
7,7,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,5187498374077048,5187498374212889
7,7,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048582.000000,5187498374077048,5187498374212889
7,7,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,5187498374077048,5187498374212889
7,7,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,5187498374077048,5187498374212889
8,8,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,5187498374624250,5187498374761051
8,8,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048584.000000,5187498374624250,5187498374761051
8,8,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,5187498374624250,5187498374761051
8,8,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048582.000000,5187498374624250,5187498374761051
8,8,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,5187498374624250,5187498374761051
8,8,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,5187498374624250,5187498374761051
9,9,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,5187498375173052,5187498375308573
9,9,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048584.000000,5187498375173052,5187498375308573
9,9,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,5187498375173052,5187498375308573
9,9,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048582.000000,5187498375173052,5187498375308573
9,9,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,5187498375173052,5187498375308573
9,9,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,5187498375173052,5187498375308573
10,10,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,5187498375719135,5187498375855455
10,10,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048586.000000,5187498375719135,5187498375855455
10,10,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,5187498375719135,5187498375855455
10,10,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048584.000000,5187498375719135,5187498375855455
10,10,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,5187498375719135,5187498375855455
10,10,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,5187498375719135,5187498375855455
11,11,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,5187498376279137,5187498376414337
11,11,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048584.000000,5187498376279137,5187498376414337
11,11,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,5187498376279137,5187498376414337
11,11,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048582.000000,5187498376279137,5187498376414337
11,11,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,5187498376279137,5187498376414337
11,11,4,1,128707,128707,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,5187498376279137,5187498376414337
12,12,4,1,128707,128707,16777216,16,"void copy_kernel<2>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,5187498376979460,5187498377145380
12,12,4,1,128707,128707,16777216,16,"void copy_kernel<2>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",1048842.000000,5187498376979460,5187498377145380
12,12,4,1,128707,128707,16777216,16,"void copy_kernel<2>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",1110523.000000,5187498376979460,5187498377145380
12,12,4,1,128707,128707,16777216,16,"void copy_kernel<2>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",1048710.000000,5187498376979460,5187498377145380
12,12,4,1,128707,128707,16777216,16,"void copy_kernel<2>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",2097152.000000,5187498376979460,5187498377145380
12,12,4,1,128707,128707,16777216,16,"void copy_kernel<2>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,5187498376979460,5187498377145380
13,13,4,1,128707,128707,16777216,34,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,5187498377628742,5187498377783143
13,13,4,1,128707,128707,16777216,34,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",1049354.000000,5187498377628742,5187498377783143
13,13,4,1,128707,128707,16777216,34,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",2161799.000000,5187498377628742,5187498377783143
